# List for free game!
# If you're using a mobile device, rotate your phone to landscape mode.
# 'CTRL + F' to search for the game name.
# Note: If the upload status shows '1', it means the game has been uploaded. If it shows '0', it hasn’t been uploaded.

# If you need a game that's not on the list, feel free to contact me on Discord and leave a request in the '#free_games_request' channel. If possible, I'll provide it.
# Discord server: https://discord.gg/3ShGjfj6je

+------------------------------------------Toxic Home-----------------------------------------+
+-------------------------------------------------------------------+---------+---------------+
| GAME NAME                                                         | APP ID  | UPLOAD STATUS |
|107. Batman Arkham City GOTY >-------------------------------------| 200260  |-----< 1 >-----|
|108. Batman Arkham Knight >----------------------------------------| 208650  |-----< 1 >-----|
|109. Batman Arkham Origins >---------------------------------------| 209000  |-----< 1 >-----|
|110. LEGO Batman 2 DC Super Heroes >-------------------------------| 213330  |-----< 1 >-----|
|111. Batman Arkham Origins Black gate - Deluxe Edition >-----------| 35150   |-----< 1 >-----|
|112. LEGO Batman 3 Beyond Gotham >---------------------------------| 313690  |-----< 1 >-----|
|113. Batman - The Telltale Series >--------------------------------| 498240  |-----< 1 >-----|
|114. Batman The Enemy Within - The Telltale Series >---------------| 675260  |-----< 1 >-----|
|115. Hacker Simulator >--------------------------------------------| 1754840 |-----< 1 >-----|
|116. Anonymous Hacker Simulator >----------------------------------| 2487060 |-----< 1 >-----|
|117. Dragon Ball Z Sparkling Zero >--------------------------------| 1790600 |-----< 1 >-----|
|118. God Of War Ragnarok >-----------------------------------------| 2322010 |-----< 1 >-----|
|119. Horizon Forbidden West >--------------------------------------| 2420110 |-----< 1 >-----|
|120. Horizon Zero Dawn >-------------------------------------------| 1151640 |-----< 1 >-----|
|121. Baldur Gate 3 >-----------------------------------------------| 1086940 |-----< 1 >-----|
|122. Assassin Creed Rogue >----------------------------------------| 311560  |-----< 1 >-----|
|123. Assassin Creed IV Black Flag >--------------------------------| 242050  |-----< 1 >-----|
|124. Assassin Creed Liberation >-----------------------------------| 260210  |-----< 1 >-----|
|125. Assassin Creed Brotherhood >----------------------------------| 48190   |-----< 1 >-----|
|126. Assassin Creed Revelations >----------------------------------| 201870  |-----< 1 >-----|
|127. Assassin Creed Valhalla >-------------------------------------| 2208920 |-----< 1 >-----|
|128. Cricket 19 >--------------------------------------------------| 1028630 |-----< 1 >-----|
|129. Star Wars Jedi Survivor >-------------------------------------| 1774580 |-----< 1 >-----|
|130. Star Wars Jedi Fallen Order >---------------------------------| 1172380 |-----< 1 >-----|
|131. Injustice 2 >-------------------------------------------------| 627270  |-----< 1 >-----|
|132. The Crew 2 >--------------------------------------------------| 646910  |-----< 1 >-----|
|133. Life is Strange™ >--------------------------------------------| 319630  |-----< 1 >-----|
|134. Life is Strange Remastered >----------------------------------| 1265920 |-----< 1 >-----|
|135. Life is Strange 2 >-------------------------------------------| 532210  |-----< 1 >-----|
|136. Life is Strange Before the Storm >----------------------------| 554620  |-----< 1 >-----|
|137. Life is Strange Before the Storm Remastered >-----------------| 1265930 |-----< 1 >-----|
|138. Life is Strange Double Exposure >-----------------------------| 1874000 |-----< 1 >-----|
|139. Life is Strange True Colors >---------------------------------| 936790  |-----< 1 >-----|
|140. HITMAN™ >-----------------------------------------------------| 236870  |-----< 1 >-----|
|141. HITMAN™ 2 >---------------------------------------------------| 863550  |-----< 1 >-----|
|142. Hitman Contracts >--------------------------------------------| 247430  |-----< 1 >-----|
|143. Hitman GO Definitive Edition >--------------------------------| 427820  |-----< 1 >-----|
|144. HITMAN World of Assassination >-------------------------------| 1659040 |-----< 1 >-----|
|145. Hitman Absolution >-------------------------------------------| 203140  |-----< 1 >-----|
|146. Subnautica Below Zero >---------------------------------------| 848450  |-----< 1 >-----|
|147. Getting Over It >---------------------------------------------| 240720  |-----< 1 >-----|
|148. Buckshot Roulette >-------------------------------------------| 2835570 |-----< 1 >-----|
|149. BeamNG.drive >------------------------------------------------| 284160  |-----< 1 >-----|
+-------------------------------------------------------------------+---------+---------------+

-> Last updated: 14 December 2024 - 6:00 PM |
